Year,Service,Multi.Service ,Other.Service,Investment.Type,Type.Book,Wheeled Vehicles,P1.Line.Item.Number,System.Title,Anomalous,MDAP,Unit.Cost.Millions,Current.Year Gross.Cost.Millions,FY2020.Procurement ,Inventory.Objective ,Peacetime.Production ,Efficiency.Production ,Surge.Rate.Years,Surge.Rate.Months,Surge.Rate.Leadtime.Years,Surge.Rate.Leadtime.1-8-5.Years,Adjusted.Surge.Rate.Years,Agg.MSR.Years,Agg.1-8-5.Years,Agg.Max.Years,Avg.Production.Leadtime. Years,Avg.Production.Leadtime. Months
2020,Army,1,Air Force,ARS,Aircraft,Other Programs,9670A00005,MQ-1 UAV,1,MDAP,$9 ,NA,6,233,38.83333333,9.708333333,3.24,38.83,5.07,2.63,4.46,24,24,72,1.833333333,22
2020,Army,0,NA,ARS,Aircraft,Other Programs,9675A00010,RQ-11 (RAVEN),0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,720,960,0.5,6
2020,Army,0,NA,ARS,Aircraft,Other Programs,5757A05111,AH-64 Apache Block IIIA Reman,0,MDAP,$20.45 ,NA,48,639,13.3125,6.520408163,4.44,53.25,5.44,3.76,4.76,48,98,144,1,12
2020,Army,0,NA,ARS,Aircraft,Other Programs,5840A05133,AH-64 Apache Block IIIB New Build,1,MDAP,NA,NA,0,74,NA,0.755102041,0.51,6.17,3.18,-1.3,1.37,48,98,144,2.666666667,32
2020,Army,0,NA,ARS,Aircraft,Other Programs,6775A05101,CH-47 Helicopter,0,MDAP,$20.67 ,NA,9,542,60.22222222,22.58333333,7.53,90.33,7.53,7.53,7.53,24,24,72,0,0
2020,Army,0,NA,ARS,Aircraft,Other Programs,5397AZ3517,CMWS,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,360,432,0.833333333,10
2020,Army,0,NA,ARS,Aircraft,Other Programs,5399AZ3537,Common Infrared Countermeasures (CIRCM),0,MDAP,$2.52 ,NA,81,1829,22.58024691,10.16111111,6.1,73.16,6.1,6.1,6.1,60,180,300,0,0
2020,Army,0,NA,ARS,Aircraft,Other Programs,6380AZ3110,Aircrew Integrated Systems,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1200,6000,0.5,6
2020,Army,0,NA,MM,Missile,Other Programs,8260C53101,MSE Missile,0,MDAP,$5.01 ,NA,147,"3,346",22.76190476,11.15333333,9.56,114.72,11.06,8.27,9.77,72,300,350,1.5,18
2020,Army,1,Navy; Air Force,MM,Missile,Other Programs,1338C70000,Hellfire Sys Summary,0,Non-MDAP,$0.08 ,NA,"9,000",114066,12.674,6.337,3.46,41.48,5.46,2.37,4.37,10800,18000,33000,2,24
2020,Army,1,Navy; Air Force,MM,Missile,Other Programs,2605C70302,Joint Air-to-Ground MSLS (JAGM),0,MDAP,$0.38 ,NA,1051,"26,437",25.15413892,22.03083333,11.02,132.19,13.02,10.02,12.02,600,1200,2400,2,24
2020,Army,1,Marine Corps,MM,Missile,Other Programs,0648CC0007,Javelin (AAWS-M) System Summary,0,Non-MDAP,$0.21 ,NA,794,"38,442",48.41561713,9.707575758,5.93,71.19,8.35,4.46,6.87,850,3960,6480,2.416666667,29
2020,Army,0,NA,MM,Missile,Other Programs,2104C59300,TOW 2 System Summary,0,Non-MDAP,$0.09 ,NA,"1,460","181,743",124.4815068,25.24208333,10.82,129.82,12.15,10.25,11.58,2100,7200,16800,1.333333333,16
2020,Army,1,Marine Corps,MM,Missile,Other Programs,6005C64400,Guided MLRS Rocket (GMLRS),1,MDAP,$0.13 ,NA,"9,910","80,407",8.113723512,8.039092182,8.04,96.47,9.29,6.79,8.04,2160,10002,10002,1.25,15
2020,Army,0,NA,MM,Missile,Other Programs,6060C65405,MLRS Reduced Range Practice Rockets (RRRR),0,Non-MDAP,$0.01 ,NA,"2,982","63,591",21.3249497,5.934210526,4.71,56.58,5.88,3.79,4.95,1008,10716,13488,1.166666667,14
2020,Army,0,NA,MM,Missile,Other Programs,6472C98510,"ARMY TACTICAL MSL SYS (ATACMS) - SYS
SUM",0,Non-MDAP,$1.42 ,NA,240,"4,022",16.75833333,8.820175439,6.98,83.79,8.65,5.66,7.33,84,456,576,1.666666667,20
2020,Army,0,NA,MM,Missile,Other Programs,6870C88001,"LETHAL MINIATURE AERIAL MISSILE
SYSTEM (LMAMS)",0,Non-MDAP,$0.07 ,NA,"1,130","2,965",2.623893805,4.492424242,2.15,25.78,2.57,1.95,2.37,600,660,1380,0.416666667,5
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,2944G80819,Armored Multi Purpose Vehicle (AMPV),0,MDAP,$3.71 ,NA,131,"2,897",22.11450382,24.14166667,15.09,181.06,17.26,13.73,15.9,36,120,192,2.166666667,26
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,0363G85200,Stryker Upgrade,1,Non-MDAP,$3.62 ,NA,152,"1,266",8.328947368,0.5275,0.35,4.22,1.27,-0.26,0.66,600,2400,3600,0.916666667,11
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,2073GZ0410,Paladin Integrated Management (PIM),0,MDAP,$10.44 ,NA,53,689,13,9.569444444,5.74,68.9,7.83,4.49,6.58,24,72,120,2.083333333,25
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,3700GA0570,"Improved Recovery Vehicle (M88A2
HERCULES)",0,MDAP,$5.01 ,NA,16,933,58.3125,38.875,19.44,233.25,21.85,18.23,20.65,12,24,48,2.416666667,29
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,4872G82925,Assault Breacher Vehicle,0,Non-MDAP,$5.28 ,NA,6,157,26.16666667,13.08333333,4.36,52.33,5.36,4.03,5.03,12,12,36,1,12
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,5225GZ3001,Joint Assault Bridge,0,Non-MDAP,$4.67 ,NA,44,330,7.5,13.75,6.88,82.5,8.21,6.21,7.54,12,24,48,1.333333333,16
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,6500GA0750,Abrams Upgrade Program,0,Non-MDAP,$10.62 ,NA,165,"2,104",12.75151515,14.61111111,5.01,60.11,6.51,4.5,6,12,144,420,1.5,18
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,4368G13800,GUN AUTOMATIC 30MM M230,1,Non-MDAP,$0.35 ,NA,57,85,1.49122807,0.708333333,0.18,2.13,1.01,-0.03,0.8,60,120,480,0.833333333,10
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,8201G13501,Carbine,0,Non-MDAP,$0.00 ,NA,"38,683","253,745",6.559599824,2.643177083,1.51,18.12,1.89,1.3,1.67,24000,96000,168000,0.375,4.5
2020,Army,0,NA,GS,Weap. and TCV,Other Programs,8212G17200,Small Arms - Fire Control,0,Non-MDAP,$0.02 ,NA,431,"17,441",40.46635731,1.453416667,0.29,3.49,0.62,0.22,0.56,1200,12000,60000,0.333333333,4
2020,Army,0,NA,MM,Ammo,Other Programs,0132E00700,"CTG, 5.56MM, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78076800,1781832960,5626800000,3,36
2020,Army,0,NA,MM,Ammo,Other Programs,0612E02000,"CTG, 7.62MM, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47719200,320640000,612840000,7.5,90
2020,Army,0,NA,MM,Ammo,Other Programs,1450EA3000,"CTG, Handgun, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000000,30000000,120000000,0.583333333,7
2020,Army,0,NA,MM,Ammo,Other Programs,1722E08000,"CTG, .50 Cal, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7200,96720000,328440000,1,12
2020,Army,0,NA,MM,Ammo,Other Programs,2382E08900,"CTG, 20mm, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,840000,1680000,2,24
2020,Army,0,NA,MM,Ammo,Other Programs,2650E08200,"CTG, 25mm, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24000,2400000,3600000,1,12
2020,Army,0,NA,MM,Ammo,Other Programs,2938ER8120,"CTG, 30mm, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1452000,6840000,10632000,1,12
2020,Army,0,NA,MM,Ammo,Other Programs,3222ER8001,"CTG, 40mm, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680000,9000000,23400000,5.333333333,64
2020,Army,0,NA,MM,Ammo,Other Programs,0050E89600,"60MM Mortar, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000,60000,180000,3,36
2020,Army,0,NA,MM,Ammo,Other Programs,3584E76000,"81MM Mortar, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48000,144000,360000,3,36
2020,Army,0,NA,MM,Ammo,Other Programs,6780E25500,"120MM Mortar, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312000,396000,720000,2.333333333,28
2020,Army,0,NA,MM,Ammo,Other Programs,1120E22203,"Cartridges, Tank, 105MM And 120MM, All
Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000,100320,263040,1,12
2020,Army,0,NA,MM,Ammo,Other Programs,3102E89500,"ARTILLERY PROJECTILE, 155MM, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72120,145416,289992,3.5,42
2020,Army,0,NA,MM,Ammo,Other Programs,6600E80100,Proj 155mm Extended Range M982,0,Non-MDAP,$0.12 ,NA,804,16925,21.05099502,2.350694444,1.18,14.1,2.93,0.3,2.05,1440,7200,14400,1.75,21
2020,Army,0,NA,MM,Ammo,Other Programs,8750E27501,"Artillery Propellants, Fuzes and Primers, All",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873996,1513200,2846400,2.6,31.2
2020,Army,0,NA,MM,Ammo,Other Programs,0442EA0800,"Mines & Clearing Charges, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,7860,18816,1.5,18
2020,Army,0,NA,MM,Ammo,Other Programs,2348EA4000,"Shoulder Launched Munitions, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7200,68400,100800,1.375,16.5
2020,Army,0,NA,MM,Ammo,Other Programs,3246E37300,"Rocket, Hydra 70, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2424000,6144000,8460000,0.472222222,5.666666667
2020,Army,0,NA,MM,Ammo,Other Programs,2790E55400,"Demolition Munitions, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000,48000,96000,1.125,13.5
2020,Army,0,NA,MM,Ammo,Other Programs,4582E34000,"Grenades, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96000,192000,384000,1.25,15
2020,Army,0,NA,MM,Ammo,Other Programs,6038E46900,"Signals, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,384000,768000,1.25,15
2020,Army,0,NA,MM,Ammo,Other Programs,8278E51200,"Simulators, All Types",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,780000,1200000,1,12
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,0254DA0100,Tactical Trailers/Dolly Sets,0,Non-MDAP,$0.05 ,NA,245,"1,396",5.697959184,4.474358974,3.88,46.53,4.29,3.52,3.93,264,312,360,0.416666667,5
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,0930D01001,"Semitrailers, Flatbed:",0,Non-MDAP,$0.12 ,NA,931,"4,689",5.036519871,7.514423077,3.26,39.08,3.76,3.04,3.54,168,624,1440,0.5,6
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,3446D15400,"Ambulance, 4 LITTER, 5/4 TON, 4x4",0,Non-MDAP,$0.38 ,NA,334,"2,346",7.023952096,9.775,2.35,28.15,3.1,2.17,2.92,140,240,1000,0.75,9
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,3484D15501,Ground Mobility Vehicles (GMV),0,Non-MDAP,$0.44 ,NA,84,527,6.273809524,1.463888889,0.49,5.86,0.82,0.38,0.71,120,360,1080,0.333333333,4
2020,Army,1,Marine Corps,GS,Tact. and Support Veh.,Other Programs,5600D15603,JOINT LIGHT TACTICAL VEHICLE,0,MDAP,$0.39 ,NA,"3,928","58,190",14.81415479,20.90158046,5.16,61.9,5.99,4.95,5.79,48,2784,11280,0.833333333,10
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,6866D15500,Family Of Medium Tactical Veh (FMTV),0,Non-MDAP,$0.51 ,NA,142,"3,475",24.47183099,28.95833333,7.24,86.88,8.24,6.99,7.99,24,120,480,1,12
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,7000D15800,Firetrucks & Associated Firefighting Equip,0,Non-MDAP,$0.50 ,NA,56,385,6.875,2.673611111,1.34,16.04,1.84,1.09,1.59,36,144,288,0.5,6
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,8309DA0500,Family Of Heavy Tactical Vehicles (FHTV),1,Non-MDAP,$0.38 ,NA,96,"2,063",21.48958333,2.23027027,0.82,9.82,1.94,0.41,1.53,21,925,2521,1.125,13.5
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,8331D16506,PLS ESP,1,Non-MDAP,$0.73 ,NA,32,374,11.6875,0.016865079,0.01,0.07,0.67,-0.24,0.43,480,22176,60480,0.666666667,8
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,8948DV0021,Hvy Expanded Mobile Tactical Truck Ext Serv,1,Non-MDAP,$0.60 ,NA,157,"1,145",7.292993631,0.051632395,0.02,0.23,0.52,-0.16,0.34,480,22176,60480,0.5,6
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,8953DV0230,HMMWV Recapitalization Program,1,Non-MDAP,$0.07 ,NA,85,85,1,0.081417625,0.07,0.85,0.07,0.07,0.07,600,1044,1200,0,0
2020,Army,0,NA,GS,Tact. and Support Veh.,Wheeled Vehicles,8980D04003,Tactical Wheeled Vehicle Protection Kits,0,Non-MDAP,$0.16 ,NA,604,"12,135",20.0910596,9.029017857,3.66,43.97,3.83,3.6,3.76,624,1344,3312,0.166666667,2
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,1981B00010,Signal Modernization Program,0,Non-MDAP,$0.46 ,NA,333,"2,669",8.015015015,3.706944444,0.26,3.14,0.78,0.22,0.75,48,720,10200,0.520833333,6.25
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,2956B85800,"Transportable Tactical Command
Communications (T2C",0,Non-MDAP,$0.71 ,NA,118,1640,13.89830508,2.277777778,0.85,10.25,1.1,0.76,1.01,24,720,1920,0.25,3
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,9897K49000,"Assured Positioning, Navigation and Timing",0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208,2208,2208,0,0
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,6458B95004,Handheld Manpack Small Form Fit (HMS),0,MDAP,$0.05 ,NA,8923,91349,10.23747619,7.354991948,2.37,28.46,2.37,2.37,2.37,6240,12420,38520,0,0
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,6948B22603,"Radio Terminal Set, MIDS LVT(2)",0,Non-MDAP,$0.11 ,NA,214,557,2.602803738,0.773611111,0.3,3.57,0.3,0.3,0.3,120,720,1872,0,0
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,9164BU8100,COTS Communications Equipment,0,Non-MDAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,2400,4800,0,0
2020,Army,0,NA,C4I,Com. and Elec. Equip.,Other Programs,0125B96000,Communications Security (COMSEC),1,Non-MDAP,$0.01 ,NA,"24,754","95,582",3.861274945,3.982583333,0.8,9.56,0.8,0.8,0.8,24000,24000,120000,0,0
